,name,vicinity,Latitude,Longitude,name,rating,types,business_status
34,Metro Bar and Bistro,"33 Mounts Bay Road, Perth",-31.95541690000001,115.8524094,Metro Bar and Bistro,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
35,Outback Jacks Northbridge - Australian Steak House,"124 James Street, Northbridge",-31.9481267,115.85757050000001,Outback Jacks Northbridge - Australian Steak House,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
36,Fibber McGee's,"711 Newcastle Street, Leederville",-31.9376411,115.8417358,Fibber McGee's,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
37,The Aberdeen Hotel,"90 Aberdeen Street, Northbridge",-31.9464442,115.85933899999999,The Aberdeen Hotel,3.8,"[""bar"",""point_of_interest"",""establishment""]",
38,Ezra Pound,"189 William Street, Northbridge",-31.9492537,115.8590467,Ezra Pound,4.5,"[""bar"",""point_of_interest"",""establishment""]",
39,Perth's Famous Wine Cruise,"3 Barrack Street, Perth",-31.95657280000001,115.8590564,Perth's Famous Wine Cruise,4.7,"[""bar"",""point_of_interest"",""establishment""]",
40,Mayfair Lane Pub & Dining Room,"72 Outram Street, West Perth",-31.9474455,115.8403318,Mayfair Lane Pub & Dining Room,4.3,"[""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
41,The Bird,"181 William Street, Northbridge",-31.9496292,115.8587993,The Bird,4.6,"[""bar"",""point_of_interest"",""establishment""]",
42,Bivouac Canteen & Bar,"198 William Street, Perth",-31.949429,115.859307,Bivouac Canteen & Bar,4.7,"[""restaurant"",""meal_takeaway"",""bar"",""food"",""point_of_interest"",""establishment""]",
43,Hyde Park Hotel,"331 Bulwer Street, West Perth",-31.938193,115.85704270000001,Hyde Park Hotel,4.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
44,The Ellington Jazz Club,"191 Beaufort Street, Perth",-31.9466589,115.86428909999998,The Ellington Jazz Club,4.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",
45,Rosemount Hotel,"459 Fitzgerald Street, North Perth",-31.9308913,115.8590028,Rosemount Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",
46,Bistro Felix,"118-120 Rokeby Road, Subiaco",-31.94833299999999,115.824272,Bistro Felix,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
47,Oxford Hotel,"368 Oxford Street, Leederville",-31.925423,115.841573,Oxford Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",
48,Mustang Bar,"46 Lake Street, Northbridge",-31.947313300000005,115.8572922,Mustang Bar,4.1,"[""bar"",""point_of_interest"",""establishment""]",
49,The Cabin Small Bar,"Upstairs, 174 Scarborough Beach Road, Mount Hawthorn",-31.920784600000008,115.8379483,The Cabin Small Bar,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
50,Liquor Store Association,"Centrepoint Tower, 25/123B Colin Street, West Perth",-31.94558079999999,115.8425527,Liquor Store Association,,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",
51,43 Below Bar & Restaurant,"43 Barrack Street, Perth",-31.954723699999995,115.86006680000001,43 Below Bar & Restaurant,4.1,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",
52,Niche Bar,"7/663 Newcastle Street, Leederville",-31.9384003,115.84179089999999,Niche Bar,3.9,"[""bar"",""point_of_interest"",""establishment""]",
53,Varsity Northbridge,"94 Aberdeen Street, Northbridge",-31.946244300000004,115.85877649999999,Varsity Northbridge,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
54,Must Winebar,"519 Beaufort Street, Highgate",-31.938051899999998,115.8697429,Must Winebar,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
55,Kuditj,"201 Beaufort Street, Perth",-31.9463728,115.8642975,Kuditj,5.0,"[""bar"",""food"",""point_of_interest"",""establishment""]",
56,Cafe Crown,"85 Stirling Street, Perth",-31.949841600000003,115.86374779999998,Cafe Crown,4.3,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
57,Jack Rabbit Slim's,"133 Aberdeen Street, Perth",-31.9456468,115.8567375,Jack Rabbit Slim's,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",
58,Holey Moley Golf Club Northbridge,"53 Lake Street, Northbridge",-31.946609999999996,115.8573,Holey Moley Golf Club Northbridge,4.4,"[""bar"",""point_of_interest"",""establishment""]",
59,Midori Teppanyaki and Bar,"27 Lake Street, Northbridge",-31.9476333,115.85668059999999,Midori Teppanyaki and Bar,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",
0,Delhi 'O' Delhi,"3 Erskineville Road, Newtown",-33.89728770000001,151.1806204,Delhi 'O' Delhi,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
1,Bloodwood Restaurant & Bar,"416 King Street, Newtown",-33.90006799999999,151.17820700000001,Bloodwood Restaurant & Bar,4.4,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
2,Palace Norton Street,"99 Norton Street, Leichhardt",-33.884906799999996,151.1573964,Palace Norton Street,4.5,"[""movie_theater"",""cafe"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
3,Websters Bar,"323 King Street, Newtown",-33.89698819999999,151.1790595,Websters Bar,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
4,The Vic On The Park,"2 Addison Road, Marrickville",-33.904175099999996,151.16819919999998,The Vic On The Park,4.3,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
5,The Henson,"91 Illawarra Road, Marrickville",-33.905157200000005,151.1613261,The Henson,4.4,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
6,The Bank,"324 King Street, Newtown",-33.89748649999999,151.1792614,The Bank,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
7,Courthouse Hotel,"202 Australia Street, Newtown",-33.89608610000001,151.1782361,Courthouse Hotel,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
8,Camelot Lounge,"Marrickville Rd & Railway Parade, 103 Marrickville Road, Marrickville",-33.914882399999996,151.1644596,Camelot Lounge,4.6,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
9,CHiLLi PiP - Custom made lounges in Sydney.,"135 Victoria Road, Marrickville",-33.9065092,151.1646601,CHiLLi PiP - Custom made lounges in Sydney.,4.9,"[""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
10,The Duke of Enmore,"148 Enmore Road, Enmore",-33.89896549999999,151.1734927,The Duke of Enmore,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
11,Hartsyard,"33 Enmore Road, Newtown",-33.898258500000004,151.17685500000002,Hartsyard,4.3,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
12,Royal Exchange Hotel,"203 Marrickville Road, Marrickville",-33.9110541,151.157835,Royal Exchange Hotel,3.8,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
13,Andiamo Trattoria Summer Hill,"29 Lackey Street, Summer Hill",-33.8914841,151.1380252,Andiamo Trattoria Summer Hill,4.3,"[""meal_delivery"",""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
14,Nortons On Norton,"393 Parramatta Road, Leichhardt",-33.88808030000001,151.1577501,Nortons On Norton,2.6,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
15,Arabella Lebanese Restaurant,"12/489-491 King Street, Newtown",-33.90232049999999,151.1788454,Arabella Lebanese Restaurant,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
16,Union Hotel,"576 King Street, Newtown",-33.9040152,151.1802934,Union Hotel,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
17,Town Hall Hotel,"326 King Street, Newtown",-33.8980603,151.17870190000002,Town Hall Hotel,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
18,Botany View Hotel,"597 King Street, Newtown",-33.90586159999999,151.1808877,Botany View Hotel,3.9,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
19,Rowers On Cooks River,"1 Levey Street, Wolli Creek",-33.9331807,151.1585446,Rowers On Cooks River,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
20,Hurlstone Park Hotel,"590 New Canterbury Road, Hurlstone Park",-33.905316799999994,151.13293810000002,Hurlstone Park Hotel,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
21,Portugal Madeira Club,"1 Denby Street, Marrickville",-33.903694200000004,151.1657638,Portugal Madeira Club,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
22,Marrickville Ritz Hotel,"252-254 Illawarra Road, Marrickville",-33.911105,151.155503,Marrickville Ritz Hotel,4.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
23,Bucket Boys Craft Beer Co,"Ground Floor/300 Illawarra Road, Marrickville",-33.912155600000006,151.1544361,Bucket Boys Craft Beer Co,4.4,"[""liquor_store"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
24,Titus Jones,"337 Illawarra Road, Marrickville",-33.9125233,151.15435219999998,Titus Jones,4.7,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
25,Gasoline Pony,"115 Marrickville Road, Marrickville",-33.912422,151.16083700000001,Gasoline Pony,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
26,The Sausage Factory,"380 New Canterbury Road, Dulwich Hill",-33.9028898,151.14364019999996,The Sausage Factory,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
27,White Cockatoo Hotel,"30 Terminus Street, Petersham",-33.893302899999995,151.15571809999997,White Cockatoo Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
28,MANIAX Axe Throwing - SYDNEY,"2/01/75 Mary Street, St Peters",-33.91305560000001,151.1725,MANIAX Axe Throwing - SYDNEY,4.8,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
29,Riverview Pinup Pub Tempe,"900 Princes Highway, Tempe",-33.926328600000005,151.1592735,Riverview Pinup Pub Tempe,3.3,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
30,Town & Country Hotel,"2 Unwins Bridge Road, St Peters",-33.9103278,151.1757139,Town & Country Hotel,4.2,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
31,Zebra Bar,"167 Enmore Road, Enmore",-33.8987164,151.17255690000002,Zebra Bar,4.7,"[""bar"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
32,Oscars Grill,"Southern Cross Hotel, 340 Princes Highway, St Peters",-33.9158174,151.1745662,Oscars Grill,4.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
33,Jacoby’s Tiki Bar,"154 Enmore Road, Enmore",-33.89897620000001,151.1731862,Jacoby’s Tiki Bar,4.6,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
34,Stanbuli,"135 Enmore Road, Enmore",-33.898695000000004,151.17334499999998,Stanbuli,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
35,Young Henrys,"76 Wilford Street, Newtown",-33.898107,151.174359,Young Henrys,4.5,"[""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
36,Vernon's Bar,"First Floor, 2 Moonbie Street, Summer Hill",-33.8918179,151.13705819999998,Vernon's Bar,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
37,Norton's Irish Pub,"1 Norton Street, Leichhardt",-33.8880093,151.15776719999997,Norton's Irish Pub,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
38,Trolley'd,"2C Gladstone Street, Newtown",-33.897512899999995,151.1742571,Trolley'd,4.9,"[""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
39,Clarence Hotel,"450 Parramatta Road, Petersham",-33.8880945,151.15922619999998,Clarence Hotel,1.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
40,The Vintage Cafe,"Shop 1/52-60 Enmore Road, Newtown",-33.8987469,151.1762113,The Vintage Cafe,4.2,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",CLOSED_TEMPORARILY
41,Creek and Cella,"54 Norton Street, Leichhardt",-33.88627160000001,151.1571083,Creek and Cella,4.8,"[""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
42,Holey Moley Golf Club Newtown,"387 King Street, Newtown",-33.89955560000001,151.177675,Holey Moley Golf Club Newtown,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
43,Argie BarGee,"377 King Street, Newtown",-33.8991825,151.1775825,Argie BarGee,3.5,"[""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
44,Cafe Claire,"Shop 3/2 Young Street, Annandale",-33.8877182,151.16489019999997,Cafe Claire,4.3,"[""cafe"",""night_club"",""bakery"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
45,Odyssey Bar Restaurant,"63 Norton Street, Leichhardt",-33.8856422,151.1574247,Odyssey Bar Restaurant,3.2,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
46,Gurdys,"349 King Street, Newtown",-33.8984218,151.17785669999998,Gurdys,4.5,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
47,Carlisle Castle Hotel,"17-19 Albermarle Street, Newtown",-33.8953158,151.1764444,Carlisle Castle Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
48,Lazybones Lounge Restaurant & Bar,"294 Illawarra Road, Marrickville",-33.9107196,151.1563386,Lazybones Lounge Restaurant & Bar,4.6,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
49,212 Blu,"212 Australia Street, Newtown",-33.8963302,151.1784159,212 Blu,4.4,"[""cafe"",""bar"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
50,Uncle Hops,"324 King Street, Newtown",-33.89751570000001,151.17921919999998,Uncle Hops,4.1,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
51,Golden Barley Hotel,"165-169 Edgeware Road, Enmore",-33.904728399999996,151.17308119999998,Golden Barley Hotel,4.3,"[""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
52,Gladstone Hotel,"572 Marrickville Road, Dulwich Hill",-33.9036,151.14231999999998,Gladstone Hotel,4.0,"[""lodging"",""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
53,Elegant Interior 1,"80-84 Parramatta Road, Stanmore",-33.88804199999999,151.169823,Elegant Interior 1,,"[""laundry"",""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
54,The Marke Kitchen & Bar,"22 Levey Street, Wolli Creek",-33.9343138,151.1569006,The Marke Kitchen & Bar,4.0,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
55,Summer Hill Hotel,"1 Lackey Street, Summer Hill",-33.8904391,151.13827890000002,Summer Hill Hotel,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
56,The Warren View Hotel,"2 Stanmore Road, Enmore",-33.899561799999994,151.1707227,The Warren View Hotel,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
57,Mary's Newtown,"6 Mary Street, Newtown",-33.8960878,151.1797845,Mary's Newtown,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
58,Shane The Waiter,"Rochford Street, Erskineville",-33.900848100000005,151.182624,Shane The Waiter,,"[""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
59,Lewisham Hotel,"794 Parramatta Road, Lewisham",-33.890158,151.14679099999998,Lewisham Hotel,3.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
60,QT Sydney,"49 Market Street, Sydney",-33.870803,151.2075484,QT Sydney,4.6,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
61,Sir Stamford at Circular Quay,"93 Macquarie Street, Sydney",-33.8622576,151.21284690000002,Sir Stamford at Circular Quay,4.4,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
62,Wake Up! Sydney,"509 Pitt Street, Sydney",-33.882378700000004,151.2046676,Wake Up! Sydney,4.4,"[""night_club"",""cafe"",""travel_agency"",""lodging"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
63,Amora Hotel,"11 Jamison Street, Sydney",-33.864458,151.20629519999997,Amora Hotel,4.4,"[""spa"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
64,Castlereagh Boutique Hotel,"169 Castlereagh Street, Sydney",-33.872522,151.2090122,Castlereagh Boutique Hotel,3.9,"[""cafe"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
65,Travelodge Hotel Sydney Wynyard,"7-9 York Street, Sydney",-33.8648016,151.2054365,Travelodge Hotel Sydney Wynyard,3.8,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
66,Ovolo Woolloomooloo,"6 Cowper Wharf Roadway, Woolloomooloo",-33.868694299999994,151.2203979,Ovolo Woolloomooloo,4.6,"[""lodging"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
67,Ovolo 1888 Darling Harbour,"139 Murray Street, Pyrmont",-33.872670899999996,151.19705159999998,Ovolo 1888 Darling Harbour,4.7,"[""lodging"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
68,Base Backpackers Sydney,"477 Kent Street, Sydney",-33.8732102,151.2049944,Base Backpackers Sydney,3.8,"[""travel_agency"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
69,Adria Bar Restaurant,"T.107 Cockle Bay Wharf, Darling Harbour",-33.8716796,151.20213130000002,Adria Bar Restaurant,3.6,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
70,Georges Mediterranean Bar & Grill,"King Street Wharf, 3 The Promenade, Sydney",-33.866664,151.2014112,Georges Mediterranean Bar & Grill,3.8,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
71,Captain Cook Hotel,"162 Flinders Street, Paddington",-33.8864364,151.21911540000002,Captain Cook Hotel,3.7,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
72,Rockpool Bar & Grill,"66 Hunter Street, Sydney",-33.866098,151.21020380000002,Rockpool Bar & Grill,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
73,Shakespeare Hotel,"200 Devonshire Street, Surry Hills",-33.887468,151.21111399999998,Shakespeare Hotel,4.3,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
74,The Bavarian York St.,"24 York Street, Sydney",-33.8682602,151.2061468,The Bavarian York St.,4.0,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
75,Hotel Downing,"249 Castlereagh Street, Sydney",-33.87643800000001,151.208623,Hotel Downing,4.1,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
76,Prime Steak Restaurant,"GPO Building, Lower Ground Floor, 1 Martin Place, Sydney",-33.867818,151.2080959,Prime Steak Restaurant,4.6,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
77,China Doll,"4/6 Cowper Wharf Roadway, Woolloomooloo",-33.868630100000004,151.22022030000002,China Doll,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
78,The Hero of Waterloo,"81 Lower Fort Street, Millers Point",-33.85774250000001,151.20579519999998,The Hero of Waterloo,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
79,Toko Sydney,"490 Crown Street, Surry Hills",-33.886837,151.2138757,Toko Sydney,4.3,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
80,Redoak Boutique Beer Cafe,"201 Clarence Street, Sydney",-33.869662899999994,151.205246,Redoak Boutique Beer Cafe,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
81,The Winery,"285A Crown Street, Surry Hills",-33.881523,151.214291,The Winery,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
