_id,business_status,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,icon,name,opening_hours.open_now,photos,place_id,plus_code.compound_code,plus_code.global_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
5f7df857f9ea96e61672dc80,OPERATIONAL,-33.8972877,151.1806204,-33.8958884197085,151.1820401802915,-33.8985863802915,151.1793422197085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,"Delhi 'O' Delhi",false,"[{""height"":4441,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/107663148014003928816\"">Delhi &#39;O&#39; Delhi</a>""],""photo_reference"":""CmRaAAAAbR_DNM4lmDO0V-fKuJ6nR7tMldgnnidKLTsoS0cHUTivNSrsPeqBPbIVop8x072FhU7fS3xSDPQ-NLhcnyPeWvtSpM3k1lPkYGE49apb9gQFyf7A4vLnpYK5EyshXFJ4EhC5Xu1sISvmxRGH0M0mGrh-GhRDLEdch59yqZJLG8lUKEN2Sp9qNw"",""width"":6662}]",ChIJC_usVDGwEmsRdQauAejn-7o,"453J+36 Newtown NSW, Australia",4RRH453J+36,2,4.4,ChIJC_usVDGwEmsRdQauAejn-7o,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",514,"3 Erskineville Road, Newtown"
5f7df857f9ea96e61672dc81,OPERATIONAL,-33.90006799999999,151.178207,-33.8987343697085,151.1795003302915,-33.9014323302915,151.1768023697085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Bloodwood Restaurant & Bar,false,"[{""height"":670,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/105083039630259156964\"">Bloodwood Restaurant &amp; Bar</a>""],""photo_reference"":""CmRaAAAAUdNQ0hT6RNnf6H_JmA2vCTUX53KBTCi_dzeKnbJDGAv73krAtWU6PpGq0EIpuBUCxuhcj0kzYZ0pRmV0uAxlnibZ8H1nLuvan9CeWYT1a9saiS6GA18CwFdlk6fqHB9iEhBwX_CJ_8DoAnkgVd3209W2GhTybUvTdIDTTHoturskoSlr-obCeg"",""width"":1000}]",ChIJq1QuszewEmsRFymD2x2e6dw,"35XH+X7 Newtown NSW, Australia",4RRH35XH+X7,3,4.4,ChIJq1QuszewEmsRFymD2x2e6dw,GOOGLE,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",531,"416 King Street, Newtown"
5f7df857f9ea96e61672dc82,OPERATIONAL,-33.8849068,151.1573964,-33.8835650197085,151.1586604802915,-33.8862629802915,151.1559625197085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,Palace Norton Street,false,"[{""height"":533,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/107209049031054741845\"">Palace Norton Street</a>""],""photo_reference"":""CmRaAAAAzDW9IFxBN1mGJXH0NmfgjNi3ZyXLHlxlxqVqPifD-3o0yCwt0tOgbenwbKKkWk_xB2RQt2Z9UnoeG4a6cY7vIFs8sH8XV4t6TXq0UmhLvHiID1eT4EoLkLix3C811YKnEhAMus-9NoRBwNzlVNGyXvSKGhT93oACIsSXnz7vpyTobI-e1hXzwA"",""width"":800}]",ChIJe6xSIhqwEmsRlqk8dOjDHZM,"4584+2X Leichhardt NSW, Australia",4RRH4584+2X,,4.5,ChIJe6xSIhqwEmsRlqk8dOjDHZM,GOOGLE,"[""movie_theater"",""cafe"",""bar"",""food"",""point_of_interest"",""establishment""]",1082,"99 Norton Street, Leichhardt"
5f7df857f9ea96e61672dc83,OPERATIONAL,-33.89698819999999,151.1790595,-33.8956833697085,151.1805010302915,-33.89838133029149,151.1778030697085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,Websters Bar,false,"[{""height"":683,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/113537014812298573425\"">Georgia Crean</a>""],""photo_reference"":""CmRaAAAAw1--BO9WgTLwOvh_hd0mGdEnhcTX_M33HiBhR7blEDGmK-oGxmPwOeCFpZdcKThfVVudFd9ukOsQKQn4gE4-IJMLItyjjwphf0_j--kOr2elSDoN8rEVei8cHa5kkEuUEhCG7j8vfQMCULJO2ND4YlUMGhRPoIqa1xjErRzV0FkupEi2GbB-sQ"",""width"":1024}]",ChIJ6zc9zTawEmsRnod33Al5njQ,"453H+6J Newtown NSW, Australia",4RRH453H+6J,2,3.9,ChIJ6zc9zTawEmsRnod33Al5njQ,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1144,"323 King Street, Newtown"
5f7df857f9ea96e61672dc84,OPERATIONAL,-33.9041751,151.1681992,-33.9027784197085,151.1695746302915,-33.9054763802915,151.1668766697085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,The Vic On The Park,false,"[{""height"":800,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/116335466793658204033\"">The Vic On The Park</a>""],""photo_reference"":""CmRaAAAAoFQolY3ModGcI78gfB4Pk6pgbVVstKqj9ZPBfpGEFEcusuXH7snHbQrtuPn53Ha6WZg-Fc9Bd6NNySI0x-Otd9aUKtyBEZvw9ZMcR88lD_Wayz7bdPaMjphqhvPIt1EFEhBEnOapG48EfX5cq9q_qggrGhTkrhu0y3mQaOCg7Ki-RXU5HzgoyQ"",""width"":1200}]",ChIJHz5DXkGwEmsR2dEmSHsDouo,"35W9+87 Marrickville NSW, Australia",4RRH35W9+87,2,4.3,ChIJHz5DXkGwEmsR2dEmSHsDouo,GOOGLE,"[""bar"",""point_of_interest"",""establishment""]",1492,"2 Addison Road, Marrickville"
5f7df857f9ea96e61672dc85,OPERATIONAL,-33.9051572,151.1613261,-33.9037745697085,151.1626160802915,-33.9064725302915,151.1599181197085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,The Henson,false,"[{""height"":2002,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/113181370122867516844\"">The Henson</a>""],""photo_reference"":""CmRaAAAAiQ2VDybdMZX7CdeqA9LZux6a3qtxvGP9OAL-wZSlrtTwS9zTtHDN4zdCmmd2tS2NiFUDHXlUcTfU1mAlAaqcqUJwa96Jnh2twPmpLidKF5panMnuZYnf-49FeGgdAZUBEhBsbOXEriKxBPT7_L1UO2RwGhSRA-b40y3iyrjYhvzt5SEQxS0O1w"",""width"":3000}]",ChIJzZIVrWmwEmsRcYBztYxViJI,"35V6+WG Marrickville NSW, Australia",4RRH35V6+WG,2,4.4,ChIJzZIVrWmwEmsRcYBztYxViJI,GOOGLE,"[""bar"",""point_of_interest"",""establishment""]",1642,"91 Illawarra Road, Marrickville"
5f7df857f9ea96e61672dc86,OPERATIONAL,-33.89748649999999,151.1792614,-33.8960816197085,151.1804918802915,-33.8987795802915,151.1777939197085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,The Bank,false,"[{""height"":1152,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/105065974071314318154\"">The Bank</a>""],""photo_reference"":""CmRaAAAAE35PraKfEnax9HA_jY87qjYWriYsGstWdKLKlJmb7yBxcR5mlQDzpwrvKEB8w9jy5nkaqH7b67fQe4VL4IzFtIoiKoh70PzatiJJ99FHuByUqriy5u2C-sy15VvN-vCiEhBq0VS-L4yTQN_w7oKEHGVYGhTICPBX360absxoV0o84n0_h14v2Q"",""width"":2048}]",ChIJtRkqxTawEmsRlXVE5CkdA3w,"453H+2P Newtown NSW, Australia",4RRH453H+2P,2,4.2,ChIJtRkqxTawEmsRlXVE5CkdA3w,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1892,"324 King Street, Newtown"
5f7df857f9ea96e61672dc87,OPERATIONAL,-33.89608610000001,151.1782361,-33.8947472697085,151.1795528802915,-33.8974452302915,151.1768549197085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,Courthouse Hotel,false,"[{""height"":667,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/106220947273161769927\"">Courthouse Hotel</a>""],""photo_reference"":""CmRaAAAAJsoez2z9znfG-qmibeeHfJe6E68u7MF8x7ldJouyxx34jMe-97Ngs1NdEDIsy-JkPjMig0Pi0R7hvrMFBxD-KKzAkkIuEv7hqHS0GtS1oXOS4nDJob11XV2lnx5rI1IuEhAKlqOMpf-9hq8icuelodC9GhQgsgT6NGQK9Qrrn7TmcYaTBIpkbA"",""width"":1000}]",ChIJlS8KKDGwEmsRWTL3GDRyiTI,"453H+H7 Newtown NSW, Australia",4RRH453H+H7,2,4.5,ChIJlS8KKDGwEmsRWTL3GDRyiTI,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1832,"202 Australia Street, Newtown"
5f7df857f9ea96e61672dc88,OPERATIONAL,-33.9148824,151.1644596,-33.9136120197085,151.1658510302915,-33.9163099802915,151.1631530697085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Camelot Lounge,false,"[{""height"":2250,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/105270515113054541227\"">Yelena Revis</a>""],""photo_reference"":""CmRaAAAAIYk5ecNsM30BNnHZ3j9FjHFwE6ev_MeVWfB7urEqNuuzQYCj4SPYfKIkL4r0JV-PUrrtYDnm752-9RByxOn7b_qdE7ObADfgFof-LNWn5ByFz0qFdYv8siC9x_eVwiYiEhBb0RVoNqrMxiQ9uU4a88DUGhQ3WFaBllWuSxkMA6bQ88dtcWRaMA"",""width"":4000}]",ChIJEZJdIl6wEmsRZBlDMFFo2V4,"35P7+2Q Marrickville NSW, Australia",4RRH35P7+2Q,,4.6,ChIJEZJdIl6wEmsRZBlDMFFo2V4,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",600,"Marrickville Rd & Railway Parade, 103 Marrickville Road, Marrickville"
5f7df857f9ea96e61672dc89,OPERATIONAL,-33.9065092,151.1646601,-33.9051843197085,151.1660517302915,-33.9078822802915,151.1633537697085,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,CHiLLi PiP - Custom made lounges in Sydney.,false,"[{""height"":3024,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/112780675938824304906\"">CHiLLi PiP - Custom made lounges in Sydney.</a>""],""photo_reference"":""CmRaAAAAunaNT-pnHaDeztbK86qhlcf7Ar4Ujec0QYO7FFZJSfNLWzMWoyBW3O-jysqIlw3wtpCe9Cximi2vwDTpYe2hzdFiuK61xri9wPKWq7Q9MmTq2k1Js7PxmXCqibpwkCDcEhDUArvy7vCzcAEAaV-Kn-ieGhQiuBG6qgahMBwT6hzPztHFnXUIrQ"",""width"":4032}]",ChIJk0h2VVqwEmsRhx_LFwCQPqw,"35V7+9V Marrickville NSW, Australia",4RRH35V7+9V,,4.9,ChIJk0h2VVqwEmsRhx_LFwCQPqw,GOOGLE,"[""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",72,"135 Victoria Road, Marrickville"
