,name,vicinity,Latitude,Longitude,rating,types,business_status
0,The Windsor Hotel,"112 Mill Point Road, South Perth",-31.9730981,115.85233149999999,4.1,"[""lodging"",""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
1,Lalla Rookh,"77 Saint Georges Terrace, Perth",-31.9555,115.8583336,4.1,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
2,Grand Cru Wine Shop,"654 Beaufort Street, Mount Lawley",-31.93436380000001,115.8724723,4.3,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
3,VHT Perth Supermarket & Liquor Store,"410-412 William Street, Perth",-31.944208000000003,115.862527,3.7,"[""supermarket"",""grocery_or_supermarket"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
4,Liquor Store Association,"Centrepoint Tower, 25/123B Colin Street, West Perth",-31.94558079999999,115.8425527,,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",
5,Bottlemart,"248 Hay Street, Perth",-31.9580054,115.8709699,3.3,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
6,Cellarbrations,"144 Bennett Street, East Perth",-31.9546995,115.8736882,4.7,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
7,Liquorland Subiaco,"Corner Coghlan Road And, Hay Street, Subiaco",-31.9472412,115.83255759999999,3.9,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
8,BWS Murray Street,"166 Murray Street, Perth",-31.953235999999997,115.86039109999999,4.1,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
9,Saracen Estates,"342 Murray Street, Perth",-31.9523257,115.857809,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
10,Holmes & Co,"329 Murray Street, Perth",-31.952066,115.8558271,4.6,"[""bar"",""cafe"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
11,Cellarbrations,"556 Hay Street, Perth",-31.9550484,115.8618781,4.0,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
12,The Heritage Wine Bar,"131 Saint Georges Terrace, Perth",-31.95448439999999,115.8552423,4.5,"[""restaurant"",""bar"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
13,BWS Perth,"231 Hay Street, East Perth",-31.95849759999999,115.87167820000002,4.3,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
14,Mounts Bay Liquor,"130A Mounts Bay Road, Perth",-31.95636099999999,115.84665559999999,3.7,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
15,BWS Queens Tavern,"520 Beaufort Street, Highgate",-31.938027500000004,115.8701832,4.0,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
16,Liquorland North Perth,"391 Fitzgerald Street, North Perth",-31.9322049,115.8585924,3.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
17,Burch Family Wines,"35 Hay Street, Subiaco",-31.94735399999999,115.83621000000001,4.0,"[""tourist_attraction"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
18,Liquor Barons Windsor Cellars,"112 Mill Point Road, South Perth",-31.973332199999998,115.8528828,4.1,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
19,Liquor Barons,"256 Oxford Street, Leederville",-31.931808500000002,115.84147639999999,4.6,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
20,BWS West Leederville,"115 Cambridge Street, West Leederville",-31.940882300000002,115.8335945,4.6,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
21,Liquorland North Perth (Charles St),"Scarborough Beach Rd &, Charles Street, North Perth",-31.926244099999998,115.85171480000001,4.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
22,Dan Murphy's Hyde Park,"Fitzgerald Street, West Perth",-31.9385062,115.85677659999999,4.4,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
23,Liquor Barons Perth City,"847 Wellington Street, West Perth",-31.947913,115.84708799999999,4.4,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
24,Vintage Cellars East Perth,"Royal St &, Sovereign Close, West Perth",-31.95329220000001,115.8783558,4.1,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
25,Vintage Cellars Hay Street,"891/893 Hay Street, Perth",-31.9524815,115.8530223,4.1,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
26,Vintage Cellars Mt Lawley,"760 Beaufort Street, Mount Lawley",-31.9281783,115.87802090000001,4.1,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
27,Peter's Cellars,"81 Lake Street, Northbridge",-31.9459387,115.8578895,3.7,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
28,Gangemi's Fine Wines & Food,"1288 Hay Street, West Perth",-31.947950800000005,115.84012879999999,4.8,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
29,Lake St Liquor Supply,"52 Lake Street, Northbridge",-31.9469197,115.8576751,1.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
30,Liquorland,"AU WA, Perth",-31.951864699999998,115.85701359999999,2.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
31,Liquorland Raine Square,"Raine SQ S C, 300 Murray Street Mall, Perth",-31.952035,115.85653459999999,3.2,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
32,Petition,"State Buildings, St Georges Tce &, Barrack Street, Perth",-31.9552017,115.86013729999999,4.5,"[""restaurant"",""bar"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
33,Total BS & Co. - Perth City Tavern,"185 Saint Georges Terrace, Perth",-31.95408870000001,115.8535452,4.5,"[""bar"",""cafe"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
34,Tiny's,"enter via QV1 Plaza, Milligan Street, Perth",-31.95208980000001,115.8512595,4.5,"[""meal_takeaway"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
35,Linkar City Cellar,"Suite G02/256 Adelaide Terrace, Perth",-31.957334000000003,115.8657642,5.0,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
36,Tiny's Liquor Emporium,"QV1, 250 St George's Terrace enter via, Milligan Street, Perth",-31.9522974,115.85105149999998,4.0,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
37,Lion Oriental Foods Co.,"13 Fitzgerald Street, Northbridge",-31.946382300000003,115.85201359999999,4.8,"[""grocery_or_supermarket"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
38,Beerland Brewing,"197 Lake Street, Perth",-31.942062899999996,115.8600715,4.0,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",
39,Vinaceous Winery,"49 Bennett Street, East Perth",-31.9578076,115.87179420000001,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
40,Kailis Wines,"19 Colin Street, West Perth",-31.951165999999997,115.840673,3.0,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
41,Cowalla Estate Winery,"22 Oxford Close, West Leederville",-31.942290000000003,115.8417,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",
42,Thirsty Camel,"23 Angove Street, North Perth",-31.9306709,115.8586233,4.2,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
43,Mt Lawley Liquor Store,"591 William Street, Mount Lawley",-31.9311462,115.86624499999999,3.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
44,Leederville Liquor Store,"2/149 Oxford Street, Leederville",-31.936563,115.84087779999999,4.1,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",
